Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,Hyperparameter
BOSS,ArrowHead,0.84571,42.96925,11.62605,DEFAULT
BOSS_Dilation,ArrowHead,0.72,31.58398,1.86438,"boss_num_of_random_dilations: 200, boss_window_sizes: [7, 9, 11], boss_norm_options: [True, False], boss_word_length: [4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.75429,26.36572,13.99766,"boss_num_of_random_dilations: 200, boss_window_sizes: [11], boss_norm_options: [True, False], boss_word_length: [4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.8,25.12586,11.82084,"boss_num_of_random_dilations: 200, boss_window_sizes: [11], boss_norm_options: [True, False], boss_word_length: [4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.77714,23.26168,11.11653,"boss_num_of_random_dilations: 200, boss_window_sizes: [11], boss_norm_options: [True, False], boss_word_length: [4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.73714,26.99793,4.76733,"boss_num_of_random_dilations: 200, boss_window_sizes: [9], boss_norm_options: [True, False], boss_word_length: [4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.70857,27.097,5.42988,"boss_num_of_random_dilations: 200, boss_window_sizes: [9], boss_norm_options: [True, False], boss_word_length: [4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.68571,30.78338,2.41566,"boss_num_of_random_dilations: 200, boss_window_sizes: [7], boss_norm_options: [True, False], boss_word_length: [4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.70857,30.26727,3.61989,"boss_num_of_random_dilations: 200, boss_window_sizes: [7], boss_norm_options: [True, False], boss_word_length: [4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.65714,25.87302,1.29469,"boss_num_of_random_dilations: 200, boss_window_sizes: [7, 9, 11], boss_norm_options: [True, False], boss_word_length: [4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.8,24.08071,2.21264,"boss_num_of_random_dilations: 200, boss_window_sizes: [7, 9, 11], boss_norm_options: [True, False], boss_word_length: [4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.70857,67.08062,8.63317,"boss_num_of_random_dilations: 400, boss_window_sizes: [7], boss_norm_options: [True, False], boss_word_length: [4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.74286,28.84831,1.45556,"boss_num_of_random_dilations: 200, boss_window_sizes: [9], boss_norm_options: [True, False], boss_word_length: [4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.84,23.6838,16.12601,"boss_num_of_random_dilations: 200, boss_window_sizes: [11], boss_norm_options: [True, False], boss_word_length: [4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.24571,39.54356,13.92366,"boss_num_of_random_dilations: 200, boss_window_sizes: [11], boss_norm_options: [True, False], boss_word_length: [4, 8], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.82286,38.6601,4.23459,"boss_num_of_random_dilations: 200, boss_window_sizes: [11], boss_norm_options: [True, False], boss_word_length: [8, 4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.83429,37.97962,5.3795,"boss_num_of_random_dilations: 200, boss_window_sizes: [11], boss_norm_options: [True, False], boss_word_length: [8, 4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.80571,47.95188,7.87752,"boss_num_of_random_dilations: 200, boss_window_sizes: [11], boss_norm_options: [True, False], boss_word_length: [16, 8, 4], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.38286,49.30652,1.17286,"boss_num_of_random_dilations: 200, boss_window_sizes: [11], boss_norm_options: [True, False], boss_word_length: [8, 4, 2], boss_dilation_algo: ROCKET"
BOSS_Dilation,ArrowHead,0.89143,39.89829,18.06991,"boss_num_of_random_dilations: 200, boss_window_sizes: [11], boss_norm_options: [True, False], boss_word_length: [8, 4], boss_dilation_algo: ROCKET"
