Classifier,Dataset,Accuracy,Fit-Time,Predict-Time
BOSS,ArrowHead,0.84571,66.47873,19.98709
BOSS,Car,0.83333,425.29093,32.6682
BOSS,CBF,1.0,18.20069,63.03571
BOSS,Coffee,1.0,58.62284,11.95214
ShapeletTransform+RidgeClassifier,ArrowHead,0.72571,23.91489,6.95066
ShapeletTransform+RidgeClassifier,Car,0.75,68.98146,9.06269
ShapeletTransform+RidgeClassifier,CBF,0.94778,16.22391,17.88919
ShapeletTransform+RidgeClassifier,Coffee,0.92857,20.84814,1.42539
ShapeletTransform,ArrowHead,0.74857,29.59966,7.68157
ShapeletTransform,Car,0.86667,77.48001,9.14131
ShapeletTransform,CBF,0.96778,18.23012,18.10936
ShapeletTransform,Coffee,0.96429,22.87522,1.57515
RDST,ArrowHead,0.85143,1.59849,5.4116
RDST,Car,0.93333,5.28051,4.64319
RDST,CBF,0.99333,0.70687,13.58163
RDST,Coffee,1.0,1.41129,1.24718
BOSS,ALL_AVERAGE,0.91976,142.1482975,31.910785
ShapeletTransform+RidgeClassifier,ALL_AVERAGE,0.838015,32.4921,8.8319825
ShapeletTransform,ALL_AVERAGE,0.8868275,37.046252499999994,9.1268475
RDST,ALL_AVERAGE,0.9445224999999999,2.24929,6.2209
